2025-06-13 04:50:54,671 - INFO - Dataset: BME
2025-06-13 04:50:54,672 - INFO - Loading and normalizing train/test data...
2025-06-13 04:50:55,025 - INFO - Starting hyperparameter optimization...
2025-06-13 04:50:55,041 - INFO - Trial 0: w=30, lambda=1.8241
2025-06-13 04:50:59,251 - INFO - Trial 0 accuracy: 0.7333
2025-06-13 04:50:59,330 - INFO - Trial 1: w=11, lambda=0.2185
2025-06-13 04:51:06,692 - INFO - Trial 1 accuracy: 0.8000
2025-06-13 04:51:06,736 - INFO - Trial 2: w=28, lambda=2.0239
2025-06-13 04:51:08,713 - INFO - Trial 2 accuracy: 0.7333
2025-06-13 04:51:08,825 - INFO - Trial 3: w=23, lambda=0.1118
2025-06-13 04:51:13,988 - INFO - Trial 3 accuracy: 0.8000
2025-06-13 04:51:14,070 - INFO - Trial 4: w=41, lambda=0.0024
2025-06-13 04:51:14,762 - INFO - Trial 4 accuracy: 0.0667
2025-06-13 04:51:14,776 - INFO - Trial 5: w=38, lambda=0.0551
2025-06-13 04:51:20,643 - INFO - Trial 5 accuracy: 0.7333
2025-06-13 04:51:20,748 - INFO - Trial 6: w=61, lambda=0.0014
2025-06-13 04:51:21,214 - INFO - Trial 6 accuracy: 0.0667
2025-06-13 04:51:21,229 - INFO - Trial 7: w=17, lambda=0.1090
2025-06-13 04:51:27,069 - INFO - Trial 7 accuracy: 0.8333
2025-06-13 04:51:27,129 - INFO - Trial 8: w=48, lambda=0.0031
2025-06-13 04:51:28,349 - INFO - Trial 8 accuracy: 0.0667
2025-06-13 04:51:28,380 - INFO - Trial 9: w=25, lambda=36.7526
2025-06-13 04:51:29,209 - INFO - Trial 9 accuracy: 0.7667
2025-06-13 04:51:29,231 - INFO - Trial 10: w=2, lambda=132.5277
2025-06-13 04:51:42,204 - INFO - Trial 10 accuracy: 0.8000
2025-06-13 04:51:42,245 - INFO - Trial 11: w=9, lambda=0.0609
2025-06-13 04:51:53,808 - INFO - Trial 11 accuracy: 0.8333
2025-06-13 04:51:53,845 - INFO - Trial 12: w=13, lambda=0.0204
2025-06-13 04:52:01,483 - INFO - Trial 12 accuracy: 0.0000
2025-06-13 04:52:01,548 - INFO - Trial 13: w=13, lambda=0.8300
2025-06-13 04:52:05,374 - INFO - Trial 13 accuracy: 0.7667
2025-06-13 04:52:05,423 - INFO - Trial 14: w=5, lambda=0.0120
2025-06-13 04:52:10,138 - INFO - Trial 14 accuracy: 0.0667
2025-06-13 04:52:10,195 - INFO - Trial 15: w=18, lambda=8.1174
2025-06-13 04:52:11,940 - INFO - Trial 15 accuracy: 0.7667
2025-06-13 04:52:11,982 - INFO - Trial 16: w=8, lambda=0.0249
2025-06-13 04:52:24,983 - INFO - Trial 16 accuracy: 0.4000
2025-06-13 04:52:25,066 - INFO - Trial 17: w=20, lambda=0.2757
2025-06-13 04:52:27,873 - INFO - Trial 17 accuracy: 0.7667
2025-06-13 04:52:27,899 - INFO - Trial 18: w=18, lambda=0.0074
2025-06-13 04:52:29,865 - INFO - Trial 18 accuracy: 0.0000
2025-06-13 04:52:29,957 - INFO - Trial 19: w=1, lambda=0.0941
2025-06-13 04:52:45,719 - INFO - Trial 19 accuracy: 0.8000
2025-06-13 04:52:45,795 - INFO - Trial 20: w=38, lambda=0.6772
2025-06-13 04:52:46,785 - INFO - Trial 20 accuracy: 0.7667
2025-06-13 04:52:46,863 - INFO - Trial 21: w=11, lambda=0.1580
2025-06-13 04:52:54,769 - INFO - Trial 21 accuracy: 0.8333
2025-06-13 04:52:54,820 - INFO - Trial 22: w=15, lambda=0.0385
2025-06-13 04:53:03,714 - INFO - Trial 22 accuracy: 0.8333
