number,value,params_lambda,params_w,user_attrs_accuracy
0,0.9642857142857143,0.4770955426902943,12,0.9642857142857143
1,0.9285714285714286,0.3252461227020729,26,0.9285714285714286
2,0.4642857142857143,65.32236272948677,137,0.4642857142857143
3,0.5,105.56583042781374,109,0.5
4,0.75,0.014095675662811422,132,0.75
5,0.75,0.0694229925001533,131,0.75
6,0.9285714285714286,0.12941669028717606,53,0.9285714285714286
7,0.75,0.024129063511158826,122,0.75
8,0.8571428571428571,51.976045943082795,10,0.8571428571428571
9,0.5714285714285714,3.607516878615938,68,0.5714285714285714
10,0.42857142857142855,0.0019791057789794076,41,0.42857142857142855
11,0.8928571428571429,1.5043951423423654,13,0.8928571428571429
12,0.6785714285714286,0.8701864882196089,31,0.6785714285714286
13,0.6428571428571429,7.8676871353178734,95,0.6428571428571429
14,0.9642857142857143,0.254673980942351,24,0.9642857142857143
15,0.21428571428571427,0.005027397040495552,1,0.21428571428571427
16,0.75,0.23718171430659607,59,0.75
17,0.6071428571428571,9.970957050790892,84,0.6071428571428571
18,0.8571428571428571,0.03624379093106007,40,0.8571428571428571
19,0.8214285714285714,0.902733946308567,20,0.8214285714285714
20,0.5357142857142857,18.896060055809645,50,0.5357142857142857
21,0.8571428571428571,0.45843811343323154,32,0.8571428571428571
22,0.9642857142857143,0.1375017732454008,24,0.9642857142857143
23,1.0,0.08450528861598218,4,1.0
24,0.7142857142857143,0.007540883143616579,4,0.7142857142857143
25,0.8571428571428571,2.0904649570641047,15,0.8571428571428571
26,1.0,0.07223188378327038,2,1.0
27,1.0,0.05128691991101827,1,1.0
28,0.17857142857142858,0.0010085325695995176,2,0.17857142857142858
29,1.0,0.055765374543471226,11,1.0
30,0.8571428571428571,0.015525699180796023,35,0.8571428571428571
31,1.0,0.06854490321940444,11,1.0
32,1.0,0.047803026617388604,8,1.0
33,1.0,0.11890842386718697,18,1.0
34,1.0,0.017732494184248417,1,1.0
35,1.0,0.009491016701134754,17,1.0
36,0.5,0.0035133910686328323,25,0.5
37,1.0,0.028478468757968587,10,1.0
38,0.8928571428571429,0.07102729457653138,46,0.8928571428571429
39,0.8928571428571429,0.16223079921472358,29,0.8928571428571429
40,0.6071428571428571,0.49260389065905713,66,0.6071428571428571
41,1.0,0.07065866900771194,9,1.0
42,1.0,0.054444665354677735,9,1.0
43,1.0,0.08431223830107352,18,1.0
44,1.0,0.022555027186993492,8,1.0
45,0.7857142857142857,0.036821562298539494,79,0.7857142857142857
46,0.7142857142857143,0.25015673853010606,122,0.7142857142857143
47,0.8571428571428571,0.1096699251904698,37,0.8571428571428571
48,1.0,0.009324962850084861,14,1.0
49,0.8214285714285714,0.6580890346218057,22,0.8214285714285714
50,1.0,0.18318736753356096,4,1.0
51,1.0,0.04667399411601247,7,1.0
52,1.0,0.03599169213654989,13,1.0
53,1.0,0.34392914859176127,1,1.0
54,0.8928571428571429,0.05387880368178743,27,0.8928571428571429
55,0.7857142857142857,0.014167644480328465,103,0.7857142857142857
56,0.7142857142857143,0.11010542533698445,142,0.7142857142857143
57,1.0,0.02422017789019517,13,1.0
58,1.0,0.09278680666033651,6,1.0
59,0.9642857142857143,0.2194568774451777,21,0.9642857142857143
60,0.21428571428571427,0.006042742722514661,6,0.21428571428571427
61,1.0,0.14657257044147343,18,1.0
62,1.0,0.049465422743337935,13,1.0
63,1.0,0.03168950063938409,17,1.0
64,1.0,139.00144509481035,1,1.0
65,0.9285714285714286,0.39967704839105217,22,0.9285714285714286
66,0.8928571428571429,0.08000011141948227,29,0.8928571428571429
67,1.0,0.1303093300748624,9,1.0
68,0.8571428571428571,0.054039543180087725,34,0.8571428571428571
69,1.0,0.020607996967228905,6,1.0
70,0.9285714285714286,1.181445048762524,12,0.9285714285714286
71,1.0,0.01463949329128509,1,1.0
72,1.0,0.009802821389337047,4,1.0
73,1.0,0.021398749596412695,17,1.0
74,0.25,0.003129803908936087,10,0.25
75,1.0,0.043219463455806024,15,1.0
76,1.0,0.0655820465274476,4,1.0
77,0.9642857142857143,0.28190885737463195,25,0.9642857142857143
78,1.0,0.09330688618155289,10,1.0
79,1.0,0.017466270792667472,1,1.0
80,0.9642857142857143,0.1999802813436624,20,0.9642857142857143
81,0.7857142857142857,0.009556523911004837,59,0.7857142857142857
82,1.0,0.028594713792424818,17,1.0
83,0.07142857142857142,0.005035617206903545,7,0.07142857142857142
84,0.8214285714285714,0.01169778753035144,42,0.8214285714285714
85,1.0,0.03600522541256165,11,1.0
86,1.0,0.06584420880244259,5,1.0
87,0.75,0.10394814163693233,91,0.75
88,1.0,0.16018275916804933,15,1.0
89,0.8214285714285714,0.007243601283106298,26,0.8214285714285714
90,0.39285714285714285,0.003335310169585575,22,0.39285714285714285
91,1.0,0.027364552087708202,10,1.0
92,1.0,0.03539658585851732,7,1.0
93,1.0,0.017310653570140142,4,1.0
94,1.0,0.0458300734897358,13,1.0
95,1.0,0.06310434177556391,19,1.0
96,1.0,0.011588793603717533,8,1.0
