2025-06-13 05:26:27,830 - INFO - Dataset: Coffee
2025-06-13 05:26:27,831 - INFO - Loading and normalizing train/test data...
2025-06-13 05:26:28,311 - INFO - Starting hyperparameter optimization...
2025-06-13 05:26:28,333 - INFO - Trial 0: w=12, lambda=0.4771
2025-06-13 05:26:59,222 - INFO - Trial 0 accuracy: 0.9643
2025-06-13 05:26:59,295 - INFO - Trial 1: w=26, lambda=0.3252
2025-06-13 05:27:21,284 - INFO - Trial 1 accuracy: 0.9286
2025-06-13 05:27:21,336 - INFO - Trial 2: w=137, lambda=65.3224
2025-06-13 05:27:21,908 - INFO - Trial 2 accuracy: 0.4643
2025-06-13 05:27:21,929 - INFO - Trial 3: w=109, lambda=105.5658
2025-06-13 05:27:22,781 - INFO - Trial 3 accuracy: 0.5000
2025-06-13 05:27:22,807 - INFO - Trial 4: w=132, lambda=0.0141
2025-06-13 05:27:46,778 - INFO - Trial 4 accuracy: 0.7500
2025-06-13 05:27:46,816 - INFO - Trial 5: w=131, lambda=0.0694
2025-06-13 05:28:11,138 - INFO - Trial 5 accuracy: 0.7500
2025-06-13 05:28:11,248 - INFO - Trial 6: w=53, lambda=0.1294
2025-06-13 05:28:35,639 - INFO - Trial 6 accuracy: 0.9286
2025-06-13 05:28:35,755 - INFO - Trial 7: w=122, lambda=0.0241
2025-06-13 05:29:00,308 - INFO - Trial 7 accuracy: 0.7500
2025-06-13 05:29:00,408 - INFO - Trial 8: w=10, lambda=51.9760
2025-06-13 05:29:11,855 - INFO - Trial 8 accuracy: 0.8571
2025-06-13 05:29:11,879 - INFO - Trial 9: w=68, lambda=3.6075
2025-06-13 05:29:13,462 - INFO - Trial 9 accuracy: 0.5714
2025-06-13 05:29:13,494 - INFO - Trial 10: w=41, lambda=0.0020
2025-06-13 05:29:14,134 - INFO - Trial 10 accuracy: 0.4286
2025-06-13 05:29:14,160 - INFO - Trial 11: w=13, lambda=1.5044
2025-06-13 05:29:34,148 - INFO - Trial 11 accuracy: 0.8929
2025-06-13 05:29:34,197 - INFO - Trial 12: w=31, lambda=0.8702
2025-06-13 05:29:40,408 - INFO - Trial 12 accuracy: 0.6786
2025-06-13 05:29:40,445 - INFO - Trial 13: w=95, lambda=7.8677
2025-06-13 05:29:41,609 - INFO - Trial 13 accuracy: 0.6429
2025-06-13 05:29:41,642 - INFO - Trial 14: w=24, lambda=0.2547
2025-06-13 05:30:05,549 - INFO - Trial 14 accuracy: 0.9643
2025-06-13 05:30:05,588 - INFO - Trial 15: w=1, lambda=0.0050
2025-06-13 05:30:09,847 - INFO - Trial 15 accuracy: 0.2143
2025-06-13 05:30:09,879 - INFO - Trial 16: w=59, lambda=0.2372
2025-06-13 05:30:19,736 - INFO - Trial 16 accuracy: 0.7500
2025-06-13 05:30:19,771 - INFO - Trial 17: w=84, lambda=9.9710
2025-06-13 05:30:20,871 - INFO - Trial 17 accuracy: 0.6071
2025-06-13 05:30:20,900 - INFO - Trial 18: w=40, lambda=0.0362
