2025-06-13 04:08:44,082 - INFO - Dataset: Herring
2025-06-13 04:08:44,082 - INFO - Loading and normalizing train/test data...
2025-06-13 04:08:44,433 - INFO - Starting hyperparameter optimization...
2025-06-13 04:08:44,451 - INFO - Trial 0: w=213, lambda=0.0304
2025-06-13 04:10:31,730 - INFO - Trial 0 accuracy: 0.5000
2025-06-13 04:10:31,825 - INFO - Trial 1: w=112, lambda=58.9027
2025-06-13 04:10:37,308 - INFO - Trial 1 accuracy: 0.5156
2025-06-13 04:10:37,339 - INFO - Trial 2: w=41, lambda=0.7478
2025-06-13 04:11:29,812 - INFO - Trial 2 accuracy: 0.4219
2025-06-13 04:11:29,849 - INFO - Trial 3: w=112, lambda=0.0784
2025-06-13 04:13:13,872 - INFO - Trial 3 accuracy: 0.4062
2025-06-13 04:13:13,962 - INFO - Trial 4: w=182, lambda=103.5678
2025-06-13 04:13:17,682 - INFO - Trial 4 accuracy: 0.5625
2025-06-13 04:13:17,764 - INFO - Trial 5: w=183, lambda=0.1250
2025-06-13 04:13:55,262 - INFO - Trial 5 accuracy: 0.4844
2025-06-13 04:13:55,296 - INFO - Trial 6: w=165, lambda=1.5890
2025-06-13 04:14:00,936 - INFO - Trial 6 accuracy: 0.5312
2025-06-13 04:14:00,975 - INFO - Trial 7: w=204, lambda=0.0134
