dataset,DTW,Euclidean,OPW,OTW,POW,TAOT,TMW-N-I,TMW-S-I
BME,0.89,0.91,0.85,0.86,0.92,0.89,1.0,0.82
BeetleFly,0.7,0.75,0.75,0.75,0.8,0.85,0.88,0.8
BirdChicken,0.75,0.55,0.6,0.6,0.6,0.85,0.88,0.85
Coffee,0.96,1.0,0.96,0.96,1.0,0.96,1.0,0.97
DistalPhalanxOutlineAgeGroup,0.71,0.62,0.68,0.64,0.64,0.67,0.76,0.83
ECG200,0.79,0.88,0.9,0.87,0.89,0.71,0.88,0.87
FaceFour,0.84,0.7,0.93,0.92,0.86,0.87,0.96,0.94
GunPoint,0.89,0.91,0.95,0.95,0.91,0.51,0.98,0.95
Herring,0.55,0.42,0.59,0.55,0.52,0.48,0.46,0.69
ItalyPowerDemand,0.92,0.9,0.96,0.92,0.94,0.67,0.92,0.94
MoteStrain,0.9,0.88,0.87,0.8,0.85,0.75,0.98,0.91
OliveOil,0.83,0.82,0.83,0.83,0.87,0.73,0.83,0.85
Plane,1.0,0.94,0.96,0.96,0.96,0.89,1.0,0.99
SonyAIBORobotSurface1,0.66,0.69,0.73,0.74,0.73,0.46,0.99,0.95
SonyAIBORobotSurface2,0.82,0.86,0.87,0.87,0.86,0.73,0.96,0.91
SwedishLeaf,0.75,0.79,0.84,0.79,0.88,0.89,0.84,0.87
UMD,0.94,0.54,0.78,0.82,0.81,0.84,0.97,0.81
